,tweet_id,retweet_count,favorite_count
501,810657578271330305,2631,10945
502,810284430598270976,11197,35138
503,810254108431155201,3370,14656
504,809920764300447744,3932,15533
505,809808892968534016,4876,0
506,809448704142938112,1466,6930
507,809220051211603969,5586,19883
508,809084759137812480,3522,13207
509,808838249661788160,3029,10114
510,808733504066486276,2157,7888
511,808501579447930884,2594,11307
512,808344865868283904,20783,42504
513,808134635716833280,5893,0
514,808106460588765185,2211,8798
515,808001312164028416,3533,12521
516,807621403335917568,3607,14573
517,807106840509214720,55174,118083
518,807059379405148160,7322,0
519,807010152071229440,3862,13077
520,806629075125202948,34536,74525
521,806620845233815552,5524,0
522,806576416489959424,1955,4886
523,806542213899489280,2355,10218
524,806242860592926720,11586,0
525,806219024703037440,1194,6436
526,805958939288408065,5353,0
527,805932879469572096,1923,8277
528,805826884734976000,1818,6549
529,805823200554876929,7995,0
530,805520635690676224,1656,5744
531,805487436403003392,2531,8797
532,805207613751304193,1714,7837
533,804738756058218496,3815,13702
534,804475857670639616,2009,6122
535,804413760345620481,3235,0
536,804026241225523202,16074,44393
537,803773340896923648,2744,10061
538,803692223237865472,7424,0
539,803638050916102144,4145,10947
540,803380650405482500,1874,7757
541,803321560782307329,5320,0
542,803276597545603072,2448,10021
543,802952499103731712,1994,9013
544,802624713319034886,2915,0
545,802600418706604034,1465,7093
546,802572683846291456,2498,8941
547,802323869084381190,5815,16178
548,802265048156610565,1374,6913
549,802239329049477120,2625,9073
550,802185808107208704,273,0
551,801958328846974976,1721,7751
552,801854953262350336,236,1791
553,801538201127157760,2062,8228
554,801285448605831168,817,6054
555,801167903437357056,5893,24461
556,801127390143516673,3951,0
557,801115127852503040,2104,8069
558,800859414831898624,98,687
559,800855607700029440,1613,0
560,800751577355128832,2791,10571
561,800513324630806528,2985,13131
562,800459316964663297,2173,9502
563,800443802682937345,4319,0
564,800388270626521089,2805,11149
565,800188575492947969,3939,0
566,800141422401830912,2547,15273
567,800018252395122689,13126,28347
568,799774291445383169,4677,0
569,799757965289017345,2165,8384
570,799422933579902976,1926,8070
571,799308762079035393,5453,0
572,799297110730567681,2751,9869
573,799063482566066176,2477,8072
574,798933969379225600,4445,13071
575,798925684722855936,1439,7509
576,798705661114773508,6633,0
577,798701998996647937,7763,0
578,798697898615730177,6513,0
579,798694562394996736,4941,0
580,798686750113755136,2333,0
581,798682547630837760,4740,0
582,798673117451325440,5547,0
583,798665375516884993,3898,0
584,798644042770751489,1851,0
585,798628517273620480,1973,0
586,798585098161549313,5671,0
587,798576900688019456,5828,0
588,798340744599797760,3325,0
589,798209839306514432,2558,10415
590,797971864723324932,3105,11580
591,797545162159308800,4866,14546
592,797236660651966464,6559,19951
593,797165961484890113,26,225
594,796904159865868288,8902,0
595,796865951799083009,1922,7674
596,796759840936919040,3024,11809
597,796563435802726400,7239,0
598,796484825502875648,1754,7573
599,796387464403357696,4127,10992
600,796177847564038144,14245,0
601,796149749086875649,14245,32233
602,796125600683540480,1805,4969
603,796116448414461957,2409,9095
604,796080075804475393,2302,8452
605,796031486298386433,3713,10797
606,795464331001561088,23506,49527
607,795400264262053889,2861,10042
608,795076730285391872,5431,16187
609,794983741416415232,3363,0
610,794926597468000259,2306,10232
611,794355576146903043,10248,0
612,794332329137291264,2679,9591
613,794205286408003585,3311,9225
614,793962221541933056,4876,16825
615,793845145112371200,1854,9210
616,793614319594401792,3125,0
617,793601777308463104,1615,7973
618,793500921481273345,2366,10674
619,793286476301799424,9147,24573
620,793271401113350145,2389,8690
621,793256262322548741,8316,19974
622,793241302385262592,3290,10508
623,793226087023144960,2881,9814
624,793210959003287553,2789,8921
625,793195938047070209,5613,15245
626,793180763617361921,1995,6930
627,793165685325201412,2779,9377
628,793150605191548928,1700,6175
629,793135492858580992,2492,6403
630,793120401413079041,3917,12645
631,792913359805018113,3970,14318
632,792883833364439040,4260,11298
633,792773781206999040,1675,7349
634,792394556390137856,4286,13416
635,792050063153438720,1789,7143
636,791821351946420224,21045,0
637,791784077045166082,9532,0
638,791780927877898241,3807,0
639,791774931465953280,22128,45079
640,791672322847637504,3125,11734
641,791406955684368384,4100,13142
642,791312159183634433,2527,8756
643,791026214425268224,4084,0
644,790987426131050500,2130,9812
645,790946055508652032,4690,16644
646,790723298204217344,2302,0
647,790698755171364864,1920,8208
648,790581949425475584,7112,20644
649,790337589677002753,1877,7808
650,790277117346975746,3173,12548
651,790227638568808452,3556,0
652,789986466051088384,2302,9238
653,789960241177853952,4105,0
654,789903600034189313,4123,10329
655,789628658055020548,1762,7480
656,789599242079838210,1921,6735
657,789530877013393408,3363,11707
658,789314372632018944,2292,8646
659,789280767834746880,4909,0
660,789268448748703744,2600,9108
661,789137962068021249,2781,9706
662,788908386943430656,12447,27402
663,788765914992902144,10248,27283
664,788552643979468800,7142,0
665,788412144018661376,5245,15524
666,788178268662984705,2094,7226
667,788150585577050112,1276,6108
668,788070120937619456,3425,0
669,788039637453406209,1308,6117
670,787810552592695296,3040,8609
671,787717603741622272,2765,10251
672,787397959788929025,2838,10862
673,787322443945877504,1735,7754
674,787111942498508800,6719,0
675,786963064373534720,7950,26606
676,786729988674449408,2418,0
677,786709082849828864,6091,18186
678,786664955043049472,2534,10558
679,786595970293370880,3116,9434
680,786363235746385920,3482,10863
681,786286427768250368,2819,7956
682,786233965241827333,4702,15200
683,786051337297522688,154,1423
684,786036967502913536,6979,0
685,785927819176054784,3166,11354
686,785872687017132033,1799,6683
687,785639753186217984,2230,7836
688,785533386513321988,1987,9084
689,785515384317313025,1250,6107
690,785264754247995392,1617,7244
691,785170936622350336,4798,11980
692,784826020293709826,3235,10077
693,784517518371221505,2516,8940
694,784431430411685888,1265,5698
695,784183165795655680,7995,19997
696,784057939640352768,11025,29647
697,783839966405230592,10709,29917
698,783821107061198850,1958,7336
699,783695101801398276,3192,10436
700,783466772167098368,2228,8426
701,783391753726550016,5428,16814
702,783347506784731136,5501,0
703,783334639985389568,11586,29019
704,783085703974514689,2189,8123
705,782969140009107456,7322,24026
706,782747134529531904,1402,7435
707,782722598790725632,5353,17188
